t,segment,v,w,motor_id,rpm,current,pulse_count,dpps,cpr_est
1772005544.9375706,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9376192,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005544.9376428,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9383004,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9383194,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005544.9383304,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9502969,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005544.9503205,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005544.9503334,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9704306,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005544.9704695,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005544.9704843,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9907463,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005544.9907856,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005544.9907985,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.01159,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0116568,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0116847,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.0310662,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0311484,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0311747,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.0510702,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0511217,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0511475,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.070479,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0705178,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0705388,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.0908554,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0909028,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0909274,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.110786,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1108303,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1108568,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.1309004,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1309445,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1309662,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.1504157,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1504548,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1505184,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.170423,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1704829,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1705065,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.19037,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1904073,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1904294,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.210328,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.2103643,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2103856,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.2304041,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.230444,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2304664,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.2505848,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
