t,segment,cmd_v,cmd_w,ekf_v,ekf_wz,ekf_yaw_u,wheel_v,wheel_wz,wheel_yaw_u,imu_wz,imu_yaw_u,err_yaw_ekf_imu,err_yaw_wheel_imu,err_wz_ekf_imu,err_wz_wheel_imu
3.014960,stop,0.000000,0.000000,0.000000,-0.000056,-0.000000,0.000000,0.000000,0.000000,-0.004700,3.043684,-3.043684,-3.043684,0.004644,0.004700
3.066244,stop,0.000000,0.000000,0.000000,0.000037,0.000000,0.000000,0.000000,0.000000,0.004026,3.043663,-3.043663,-3.043663,-0.003989,-0.004026
3.114692,stop,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.002955,3.043743,-3.043743,-3.043743,0.002955,0.002955
3.165124,stop,0.000000,0.000000,0.000000,-0.000088,-0.000000,0.000000,0.000000,0.000000,-0.004700,3.043492,-3.043492,-3.043492,0.004613,0.004700
3.214799,stop,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.002281,3.043314,-3.043314,-3.043314,-0.002281,-0.002281
3.265024,stop,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.002281,3.043475,-3.043475,-3.043475,-0.002219,-0.002281
3.314958,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000536,3.043370,-3.043370,-3.043370,-0.000536,-0.000536
3.365399,stop,0.000000,0.000000,0.000000,-0.000089,-0.000000,0.000000,0.000000,0.000000,0.002281,3.043303,-3.043303,-3.043303,-0.002370,-0.002281
3.414741,stop,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.001210,3.043205,-3.043205,-3.043205,0.001210,0.001210
3.464641,stop,0.000000,0.000000,0.000000,0.000020,-0.000000,0.000000,0.000000,0.000000,-0.004700,3.043157,-3.043157,-3.043157,0.004721,0.004700
3.514815,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002955,3.043084,-3.043084,-3.043084,0.002955,0.002955
3.564668,stop,0.000000,0.000000,0.000000,0.000046,0.000000,0.000000,0.000000,0.000000,-0.006446,3.043159,-3.043158,-3.043159,0.006492,0.006446
3.614688,stop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002281,3.043107,-3.043107,-3.043107,-0.002281,-0.002281
3.664682,stop,0.000000,0.000000,0.000000,-0.000118,-0.000000,0.000000,0.000000,0.000000,0.002281,3.043001,-3.043001,-3.043001,-0.002400,-0.002281
3.715253,stop,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.004700,3.042963,-3.042963,-3.042963,0.004700,0.004700
3.765437,stop,0.000000,0.000000,0.000000,-0.000083,-0.000000,0.000000,0.000000,0.000000,-0.001210,3.042759,-3.042759,-3.042759,0.001126,0.001210
3.818395,stop,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.001210,3.042749,-3.042749,-3.042749,0.001210,0.001210
3.866536,stop,0.000000,0.000000,0.000000,-0.000052,-0.000000,0.000000,0.000000,0.000000,0.002281,3.042743,-3.042743,-3.042743,-0.002333,-0.002281
